Year,Area,Age Group,Irish Speakers,Irish Speakers(%),Non-Irish Speakers,Not Stated,Population
2011,All Gaeltacht Areas,10 - 14 years,6222,88,765,86,7073
2011,All Gaeltacht Areas,15 - 19 years,5520,82.6,1089,71,6680
2011,All Gaeltacht Areas,20 - 24 years,3873,68.2,1727,79,5679
2011,All Gaeltacht Areas,25 - 29 years,3609,58,2534,76,6219
2011,All Gaeltacht Areas,3 - 4 years,1410,50.3,1279,112,2801
2011,All Gaeltacht Areas,30 - 34 years,3986,58,2803,82,6871
2011,All Gaeltacht Areas,35 - 39 years,4514,62.2,2664,84,7262
2011,All Gaeltacht Areas,40 - 44 years,4435,62.1,2639,73,7147
2011,All Gaeltacht Areas,45 - 49 years,4412,62.6,2565,71,7048
2011,All Gaeltacht Areas,5 - 9 years,5570,82,1094,131,6795
2011,All Gaeltacht Areas,50 - 54 years,4559,66.1,2259,75,6893
2011,All Gaeltacht Areas,55 - 59 years,4306,67.6,1991,71,6368
2011,All Gaeltacht Areas,60 - 64 years,3845,66.9,1837,62,5744
2011,All Gaeltacht Areas,65 - 69 years,3087,67.4,1430,66,4583
2011,All Gaeltacht Areas,70 - 74 years,2295,69.8,947,46,3288
2011,All Gaeltacht Areas,75 - 79 years,1864,71.4,715,31,2610
2011,All Gaeltacht Areas,80 - 84 years,1420,76.5,407,29,1856
2011,All Gaeltacht Areas,85 years and over,1311,76.6,369,31,1711
2011,All Gaeltacht Areas,All ages,66238,68.5,29114,1276,96628
2011,Cork Gaeltacht Areas,10 - 14 years,277,95.5,11,2,290
2011,Cork Gaeltacht Areas,15 - 19 years,215,91.9,18,1,234
2011,Cork Gaeltacht Areas,20 - 24 years,172,83.1,34,1,207
2011,Cork Gaeltacht Areas,25 - 29 years,187,77,56,0,243
2011,Cork Gaeltacht Areas,3 - 4 years,86,61,49,6,141
2011,Cork Gaeltacht Areas,30 - 34 years,197,72.4,75,0,272
2011,Cork Gaeltacht Areas,35 - 39 years,216,72.7,79,2,297
2011,Cork Gaeltacht Areas,40 - 44 years,206,74.6,70,0,276
2011,Cork Gaeltacht Areas,45 - 49 years,210,76.6,64,0,274
2011,Cork Gaeltacht Areas,5 - 9 years,237,94,13,2,252
2011,Cork Gaeltacht Areas,50 - 54 years,197,77.3,55,3,255
2011,Cork Gaeltacht Areas,55 - 59 years,178,73.6,62,2,242
2011,Cork Gaeltacht Areas,60 - 64 years,138,69.3,61,0,199
2011,Cork Gaeltacht Areas,65 - 69 years,128,80.5,30,1,159
2011,Cork Gaeltacht Areas,70 - 74 years,101,73.2,33,4,138
2011,Cork Gaeltacht Areas,75 - 79 years,93,86.9,14,0,107
2011,Cork Gaeltacht Areas,80 - 84 years,67,88.2,9,0,76
2011,Cork Gaeltacht Areas,85 years and over,46,86.8,6,1,53
2011,Cork Gaeltacht Areas,All ages,2951,79.4,739,25,3715
2011,Donegal Gaeltacht Areas,10 - 14 years,1538,88.1,189,19,1746
2011,Donegal Gaeltacht Areas,15 - 19 years,1276,83.9,232,13,1521
2011,Donegal Gaeltacht Areas,20 - 24 years,866,76.2,264,7,1137
2011,Donegal Gaeltacht Areas,25 - 29 years,748,66,378,8,1134
2011,Donegal Gaeltacht Areas,3 - 4 years,384,60,234,22,640
2011,Donegal Gaeltacht Areas,30 - 34 years,925,66,462,14,1401
2011,Donegal Gaeltacht Areas,35 - 39 years,1116,68.3,503,14,1633
2011,Donegal Gaeltacht Areas,40 - 44 years,1136,65.8,581,10,1727
2011,Donegal Gaeltacht Areas,45 - 49 years,1136,65.1,596,13,1745
2011,Donegal Gaeltacht Areas,5 - 9 years,1458,84.4,244,25,1727
2011,Donegal Gaeltacht Areas,50 - 54 years,1104,68.7,494,10,1608
2011,Donegal Gaeltacht Areas,55 - 59 years,1009,65.6,510,19,1538
2011,Donegal Gaeltacht Areas,60 - 64 years,1030,65.4,530,16,1576
2011,Donegal Gaeltacht Areas,65 - 69 years,931,66.7,439,25,1395
2011,Donegal Gaeltacht Areas,70 - 74 years,796,70.1,326,14,1136
2011,Donegal Gaeltacht Areas,75 - 79 years,677,75.1,218,7,902
2011,Donegal Gaeltacht Areas,80 - 84 years,526,79.9,126,6,658
2011,Donegal Gaeltacht Areas,85 years and over,476,81.2,106,4,586
2011,Donegal Gaeltacht Areas,All ages,17132,72,6432,246,23810
2011,Galway City Gaeltacht Areas,10 - 14 years,724,77.4,196,16,936
2011,Galway City Gaeltacht Areas,15 - 19 years,737,67,342,21,1100
2011,Galway City Gaeltacht Areas,20 - 24 years,711,48.8,716,31,1458
2011,Galway City Gaeltacht Areas,25 - 29 years,641,38.5,1005,20,1666
2011,Galway City Gaeltacht Areas,3 - 4 years,87,20,325,24,436
2011,Galway City Gaeltacht Areas,30 - 34 years,637,38.1,1014,20,1671
2011,Galway City Gaeltacht Areas,35 - 39 years,526,40.2,770,13,1309
2011,Galway City Gaeltacht Areas,40 - 44 years,393,38.2,626,10,1029
2011,Galway City Gaeltacht Areas,45 - 49 years,382,41.8,520,12,914
2011,Galway City Gaeltacht Areas,5 - 9 years,668,67.2,298,28,994
2011,Galway City Gaeltacht Areas,50 - 54 years,436,49.6,433,10,879
2011,Galway City Gaeltacht Areas,55 - 59 years,380,54.4,313,6,699
2011,Galway City Gaeltacht Areas,60 - 64 years,296,56.1,225,7,528
2011,Galway City Gaeltacht Areas,65 - 69 years,226,58.9,153,5,384
2011,Galway City Gaeltacht Areas,70 - 74 years,109,51.2,97,7,213
2011,Galway City Gaeltacht Areas,75 - 79 years,79,53,65,5,149
2011,Galway City Gaeltacht Areas,80 - 84 years,53,48.2,48,9,110
2011,Galway City Gaeltacht Areas,85 years and over,38,39.2,44,15,97
2011,Galway City Gaeltacht Areas,All ages,7123,48.9,7190,259,14572
2011,Galway County Gaeltacht Areas,10 - 14 years,2194,90.7,197,28,2419
2011,Galway County Gaeltacht Areas,15 - 19 years,2005,86.8,283,21,2309
2011,Galway County Gaeltacht Areas,20 - 24 years,1380,76.2,403,27,1810
2011,Galway County Gaeltacht Areas,25 - 29 years,1213,65.2,629,19,1861
2011,Galway County Gaeltacht Areas,3 - 4 years,526,53.2,430,33,989
2011,Galway County Gaeltacht Areas,30 - 34 years,1427,63.2,805,26,2258
2011,Galway County Gaeltacht Areas,35 - 39 years,1705,67.7,783,29,2517
2011,Galway County Gaeltacht Areas,40 - 44 years,1723,68.2,780,23,2526
2011,Galway County Gaeltacht Areas,45 - 49 years,1643,66.8,792,23,2458
2011,Galway County Gaeltacht Areas,5 - 9 years,2049,84.2,342,43,2434
2011,Galway County Gaeltacht Areas,50 - 54 years,1745,72.1,651,25,2421
