Year,Sex,County/City,Irish Speakers,Irish Speakers(%),Non-Irish Speakers,Not Stated,Population
2011,Both sexes,Carlow,19972.0,38.4,30877.0,1142.0,51991.0
2011,Both sexes,Cavan,25280.0,36.4,42669.0,1508.0,69457.0
2011,Both sexes,Clare,53853.0,48.1,55789.0,2309.0,111951.0
2011,Both sexes,Cork City,46566.0,40.3,65774.0,3085.0,115425.0
2011,Both sexes,Cork County,177536.0,46.8,195232.0,6293.0,379061.0
2011,Both sexes,Donegal,58998.0,38.4,92471.0,2008.0,153477.0
2011,Both sexes,Dublin City,162879.0,32.1,326811.0,18487.0,508177.0
2011,Both sexes,Dún Laoghaire-Rathdown,83000.0,41.9,111783.0,3385.0,198168.0
2011,Both sexes,Fingal,96537.0,37.5,155263.0,5691.0,257491.0
2011,Both sexes,Galway City,31866.0,44.0,38810.0,1795.0,72471.0
2011,Both sexes,Galway County,84962.0,51.0,79459.0,2203.0,166624.0
2011,Both sexes,Kerry,64105.0,45.9,72845.0,2587.0,139537.0
2011,Both sexes,Kildare,83526.0,42.0,112261.0,3073.0,198860.0
2011,Both sexes,Kilkenny,38619.0,42.5,50694.0,1492.0,90805.0
2011,Both sexes,Laois,31311.0,41.2,42770.0,1933.0,76014.0
2011,Both sexes,Leitrim,12644.0,41.7,16973.0,735.0,30352.0
2011,Both sexes,Limerick City and County,81420.0,44.5,98308.0,3364.0,183092.0
2011,Both sexes,Longford,14388.0,38.8,21982.0,705.0,37075.0
2011,Both sexes,Louth,42106.0,36.1,72206.0,2266.0,116578.0
2011,Both sexes,Mayo,56935.0,45.5,66234.0,1960.0,125129.0
2011,Both sexes,Meath,68259.0,39.3,102334.0,2951.0,173544.0
2011,Both sexes,Monaghan,22268.0,38.7,34547.0,676.0,57491.0
2011,Both sexes,Offaly,28178.0,38.7,43663.0,1052.0,72893.0
2011,Both sexes,Roscommon,26875.0,43.9,33359.0,1009.0,61243.0
2011,Both sexes,Sligo,26211.0,41.8,34842.0,1587.0,62640.0
2011,Both sexes,South Dublin,89850.0,35.8,155644.0,5503.0,250997.0
2011,Both sexes,State,1774437.0,40.6,2507312.0,88882.0,4370631.0
2011,Both sexes,Tipperary,67338.0,44.4,81743.0,2438.0,151519.0
2011,Both sexes,Waterford City and County,46746.0,43.1,59910.0,1873.0,108529.0
2011,Both sexes,Westmeath,32771.0,40.0,47700.0,1532.0,82003.0
2011,Both sexes,Wexford,50936.0,36.8,85218.0,2240.0,138394.0
2011,Both sexes,Wicklow,48502.0,37.4,79141.0,2000.0,129643.0
2011,Female,Carlow,11105.0,42.9,14271.0,522.0,25898.0
2011,Female,Cavan,14159.0,41.2,19549.0,680.0,34388.0
2011,Female,Clare,29145.0,51.7,26106.0,1086.0,56337.0
2011,Female,Cork City,24972.0,42.7,32194.0,1382.0,58548.0
2011,Female,Cork County,95939.0,50.2,92156.0,2956.0,191051.0
2011,Female,Donegal,32168.0,41.8,43774.0,947.0,76889.0
2011,Female,Dublin City,91098.0,34.9,161224.0,8502.0,260824.0
2011,Female,Dún Laoghaire-Rathdown,45832.0,44.2,56221.0,1730.0,103783.0
2011,Female,Fingal,52970.0,40.3,75917.0,2609.0,131496.0
2011,Female,Galway City,17730.0,47.3,18901.0,873.0,37504.0
2011,Female,Galway County,45053.0,54.5,36663.0,981.0,82697.0
2011,Female,Kerry,34909.0,49.9,33788.0,1224.0,69921.0
2011,Female,Kildare,45823.0,45.8,52843.0,1389.0,100055.0
2011,Female,Kilkenny,21323.0,47.0,23352.0,710.0,45385.0
2011,Female,Laois,17461.0,46.2,19654.0,650.0,37765.0
2011,Female,Leitrim,6926.0,46.4,7651.0,346.0,14923.0
2011,Female,Limerick City and County,44357.0,48.3,45910.0,1554.0,91821.0
2011,Female,Longford,7887.0,42.8,10208.0,321.0,18416.0
2011,Female,Louth,23136.0,39.2,34876.0,1033.0,59045.0
2011,Female,Mayo,31269.0,50.0,30395.0,882.0,62546.0
2011,Female,Meath,37512.0,43.1,48172.0,1307.0,86991.0
2011,Female,Monaghan,12294.0,43.1,15952.0,296.0,28542.0
2011,Female,Offaly,15667.0,43.1,20280.0,432.0,36379.0
2011,Female,Roscommon,14944.0,49.2,15020.0,391.0,30355.0
2011,Female,Sligo,14819.0,46.9,16019.0,774.0,31612.0
2011,Female,South Dublin,49379.0,38.4,76553.0,2687.0,128619.0
2011,Female,State,973587.0,44.1,1194599.0,40979.0,2209165.0
2011,Female,Tipperary,36625.0,48.4,37971.0,1085.0,75681.0
2011,Female,Waterford City and County,25330.0,46.3,28518.0,902.0,54750.0
2011,Female,Westmeath,18239.0,44.1,22343.0,736.0,41318.0
2011,Female,Wexford,28679.0,41.0,40231.0,1087.0,69997.0
2011,Female,Wicklow,26837.0,40.9,37887.0,905.0,65629.0
2011,Male,Carlow,8867.0,34.0,16606.0,620.0,26093.0
2011,Male,Cavan,11121.0,31.7,23120.0,828.0,35069.0
2011,Male,Clare,24708.0,44.4,29683.0,1223.0,55614.0
2011,Male,Cork City,21594.0,38.0,33580.0,1703.0,56877.0
2011,Male,Cork County,81597.0,43.4,103076.0,3337.0,188010.0
2011,Male,Donegal,26830.0,35.0,48697.0,1061.0,76588.0
2011,Male,Dublin City,71781.0,29.0,165587.0,9985.0,247353.0
2011,Male,Dún Laoghaire-Rathdown,37168.0,39.4,55562.0,1655.0,94385.0
2011,Male,Fingal,43567.0,34.6,79346.0,3082.0,125995.0
2011,Male,Galway City,14136.0,40.4,19909.0,922.0,34967.0
2011,Male,Galway County,39909.0,47.6,42796.0,1222.0,83927.0
2011,Male,Kerry,29196.0,41.9,39057.0,1363.0,69616.0
2011,Male,Kildare,37703.0,38.2,59418.0,1684.0,98805.0
2011,Male,Kilkenny,17296.0,38.1,27342.0,782.0,45420.0
2011,Male,Laois,13850.0,36.2,23116.0,1283.0,38249.0
2011,Male,Leitrim,5718.0,37.1,9322.0,389.0,15429.0
2011,Male,Limerick City and County,37063.0,40.6,52398.0,1810.0,91271.0
