Year,Province,Irish Speakers(%),Irish Speakers,Non-Irish Speakers,Total Population
1861,Connacht,44.8,409482.0,503653.0,913135.0
1861,Leinster,2.4,35704.0,1421931.0,1457635.0
1861,Munster,36.0,545531.0,968027.0,1513558.0
1861,State,24.5,1077087.0,3325024.0,4402111.0
1861,Ulster (pt),16.7,86370.0,431413.0,517783.0
1871,Connacht,39.0,330211.0,516002.0,846213.0
1871,Leinster,1.2,16247.0,1323204.0,1339451.0
1871,Munster,27.7,386494.0,1006991.0,1393485.0
1871,State,19.8,804547.0,3248640.0,4053187.0
1871,Ulster (pt),15.1,71595.0,402443.0,474038.0
1881,Connacht,44.6,366191.0,455466.0,821657.0
1881,Leinster,2.1,27452.0,1251537.0,1278989.0
1881,Munster,33.5,445766.0,885349.0,1331115.0
1881,State,23.9,924781.0,2945239.0,3870020.0
1881,Ulster (pt),19.5,85372.0,352887.0,438259.0
1891,Connacht,37.9,274783.0,449991.0,724774.0
1891,Leinster,1.2,13677.0,1174083.0,1187760.0
1891,Munster,26.2,307633.0,864769.0,1172402.0
1891,State,19.2,664387.0,2804307.0,3468694.0
1891,Ulster (pt),17.8,68294.0,315464.0,383758.0
1901,Connacht,38.0,245580.0,401352.0,646932.0
1901,Leinster,2.3,26436.0,1126393.0,1152829.0
1901,Munster,25.7,276268.0,799920.0,1076188.0
1901,State,19.2,619710.0,2602113.0,3221823.0
1901,Ulster (pt),20.7,71426.0,274448.0,345874.0
1911,Connacht,35.5,217087.0,393897.0,610984.0
1911,Leinster,3.5,40225.0,1121819.0,1162044.0
1911,Munster,22.1,228694.0,806801.0,1035495.0
1911,State,17.6,553717.0,2585971.0,3139688.0
1911,Ulster (pt),20.4,67711.0,263454.0,331165.0
1926,Connacht,33.3,174234.0,348964.0,523198.0
1926,Leinster,9.4,101102.0,978536.0,1079638.0
1926,Munster,21.6,197625.0,718068.0,915693.0
1926,State,19.3,540802.0,2261650.0,2802452.0
1926,Ulster (pt),23.9,67841.0,216082.0,283923.0
1936,Connacht,36.7,183082.0,315322.0,498404.0
1936,Leinster,15.9,183378.0,966434.0,1149812.0
1936,Munster,25.2,224805.0,668030.0,892835.0
1936,State,23.7,666601.0,2140324.0,2806925.0
1936,Ulster (pt),28.3,75336.0,190538.0,265874.0
1946,Connacht,33.2,154187.0,309638.0,463825.0
1946,Leinster,15.1,180755.0,1017491.0,1198246.0
1946,Munster,22.0,189395.0,672660.0,862055.0
1946,State,21.2,588725.0,2182932.0,2771657.0
1946,Ulster (pt),26.0,64388.0,183143.0,247531.0
1961,Connacht,37.6,148708.0,246592.0,395300.0
1961,Leinster,22.2,274644.0,964383.0,1239027.0
1961,Munster,28.7,228726.0,567613.0,796339.0
1961,State,27.2,716420.0,1919398.0,2635818.0
1961,Ulster (pt),31.4,64342.0,140810.0,205152.0
1971,Connacht,37.2,137372.0,231960.0,369332.0
1971,Leinster,24.5,341702.0,1055160.0,1396862.0
1971,Munster,30.6,252805.0,573308.0,826113.0
1971,State,28.3,789429.0,1998019.0,2787448.0
1971,Ulster (pt),29.5,57550.0,137591.0,195141.0
1981,Connacht,38.8,155134.0,244264.0,399398.0
1981,Leinster,28.2,473225.0,1202292.0,1675517.0
1981,Munster,34.6,323704.0,612526.0,936230.0
1981,State,31.6,1018413.0,2208054.0,3226467.0
1981,Ulster (pt),30.8,66350.0,148972.0,215322.0
1986,Connacht,38.7,158386.0,250474.0,408860.0
1986,Leinster,27.4,480227.0,1274353.0,1754580.0
1986,Munster,34.8,337043.0,630434.0,967477.0
1986,State,31.1,1042701.0,2310931.0,3353632.0
1986,Ulster (pt),30.1,67045.0,155670.0,222715.0
1991,Connacht,40.2,162680.0,242091.0,404771.0
1991,Leinster,28.8,511639.0,1264188.0,1775827.0
1991,Munster,36.5,352177.0,612988.0,965165.0
1991,State,32.5,1095830.0,2271176.0,3367006.0
1991,Ulster (pt),31.3,69334.0,151909.0,221243.0
1996,Connacht,48.2,201195.0,215809.0,417004.0
1996,Leinster,37.4,689703.0,1155696.0,1845399.0
1996,Munster,45.4,451129.0,541616.0,992745.0
1996,State,41.1,1430205.0,2049443.0,3479648.0
1996,Ulster (pt),39.3,88178.0,136322.0,224500.0
2002,Connacht,48.5,216128.0,229844.0,445972.0
2002,Leinster,38.2,768404.0,1245467.0,2013871.0
2002,Munster,46.8,493500.0,561683.0,1055183.0
2002,State,41.9,1570894.0,2180101.0,3750995.0
2002,Ulster (pt),39.4,92862.0,143107.0,235969.0
2006,Connacht,46.5,224953.0,258407.0,483360.0
2006,Leinster,37.5,823555.0,1370796.0,2194351.0
2006,Munster,45.4,510005.0,614563.0,1124568.0
2006,State,40.8,1656790.0,2400856.0,4057646.0
2006,Ulster (pt),38.5,98277.0,157090.0,255367.0
2011,Connacht,46.2,239493.0,278966.0,518459.0
2011,Leinster,37.4,890834.0,1491799.0,2382633.0
2011,Munster,45.2,537564.0,651550.0,1189114.0
2011,State,40.6,1774437.0,2596194.0,4370631.0
2011,Ulster (pt),38.0,106546.0,173879.0,280425.0
2016,Connacht,44.2,233807.0,295485.0,529292.0
2016,Leinster,35.5,897357.0,1628022.0,2525379.0
2016,Munster,42.8,526243.0,703833.0,1230076.0
2016,State,38.5,1761420.0,2807841.0,4569261.0
2016,Ulster (pt),36.6,104013.0,180501.0,284514.0
