"Percentage of Irish Speakers and Non-Irish Speakers Aged 3 Years and"
"Over 2011 to 2016 by Gaeltacht Areas, Age Group, statistical indicator"
"and Census Year"

" "," "," ","2011","2016"
"State"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",4370631,4569261
" "," ","Irish Speakers (Number)",1774437,1761420
" "," ","Non-Irish Speakers (Number)",2507312,2667945
" "," ","Not Stated (Number)",88882,139896
" "," ","Irish speakers as a percentage of total (%)",40.6,38.5
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",138708,138911
" "," ","Irish Speakers (Number)",18740,16092
" "," ","Non-Irish Speakers (Number)",112123,113877
" "," ","Not Stated (Number)",7845,8942
" "," ","Irish speakers as a percentage of total (%)",13.5,11.6
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",320770,355561
" "," ","Irish Speakers (Number)",198940,218350
" "," ","Non-Irish Speakers (Number)",114091,125643
" "," ","Not Stated (Number)",7739,11568
" "," ","Irish speakers as a percentage of total (%)",62.0,61.4
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",302491,319476
" "," ","Irish Speakers (Number)",219292,231207
" "," ","Non-Irish Speakers (Number)",78268,80220
" "," ","Not Stated (Number)",4931,8049
" "," ","Irish speakers as a percentage of total (%)",72.5,72.4
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",283019,302816
" "," ","Irish Speakers (Number)",178751,192777
" "," ","Non-Irish Speakers (Number)",99838,101953
" "," ","Not Stated (Number)",4430,8086
" "," ","Irish speakers as a percentage of total (%)",63.2,63.7
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",297231,273636
" "," ","Irish Speakers (Number)",128613,112847
" "," ","Non-Irish Speakers (Number)",162326,152164
" "," ","Not Stated (Number)",6292,8625
" "," ","Irish speakers as a percentage of total (%)",43.3,41.2
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",361122,297435
" "," ","Irish Speakers (Number)",125895,91264
" "," ","Non-Irish Speakers (Number)",227839,191196
" "," ","Not Stated (Number)",7388,14975
" "," ","Irish speakers as a percentage of total (%)",34.9,30.7
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",393945,361975
" "," ","Irish Speakers (Number)",134985,105096
" "," ","Non-Irish Speakers (Number)",251719,245565
" "," ","Not Stated (Number)",7241,11314
" "," ","Irish speakers as a percentage of total (%)",34.3,29.0
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",364261,389421
" "," ","Irish Speakers (Number)",125839,121560
" "," ","Non-Irish Speakers (Number)",232349,255519
" "," ","Not Stated (Number)",6073,12342
" "," ","Irish speakers as a percentage of total (%)",34.5,31.2
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",330812,357460
" "," ","Irish Speakers (Number)",108565,115611
" "," ","Non-Irish Speakers (Number)",216843,233532
" "," ","Not Stated (Number)",5404,8317
" "," ","Irish speakers as a percentage of total (%)",32.8,32.3
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",305185,326110
" "," ","Irish Speakers (Number)",99347,99007
" "," ","Non-Irish Speakers (Number)",201805,218642
" "," ","Not Stated (Number)",4033,8461
" "," ","Irish speakers as a percentage of total (%)",32.6,30.4
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",274386,299935
" "," ","Irish Speakers (Number)",97156,89192
" "," ","Non-Irish Speakers (Number)",173167,204325
" "," ","Not Stated (Number)",4063,6418
" "," ","Irish speakers as a percentage of total (%)",35.4,29.7
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",244522,270102
" "," ","Irish Speakers (Number)",90117,86927
" "," ","Non-Irish Speakers (Number)",150608,176293
" "," ","Not Stated (Number)",3797,6882
" "," ","Irish speakers as a percentage of total (%)",36.9,32.2
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",218786,238856
" "," ","Irish Speakers (Number)",74244,80781
" "," ","Non-Irish Speakers (Number)",140480,152576
" "," ","Not Stated (Number)",4062,5499
" "," ","Irish speakers as a percentage of total (%)",33.9,33.8
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",173638,211236
" "," ","Irish Speakers (Number)",58425,66698
" "," ","Non-Irish Speakers (Number)",111563,139138
" "," ","Not Stated (Number)",3650,5400
" "," ","Irish speakers as a percentage of total (%)",33.6,31.6
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",131190,162272
" "," ","Irish Speakers (Number)",42029,51655
" "," ","Non-Irish Speakers (Number)",85862,105786
" "," ","Not Stated (Number)",3299,4831
