"Irish Speakers and Non-Irish Speakers Aged 3 Years and Over 2011 to"
"2016 by Gaeltacht Areas, Sex, Social Class, statistical indicator and"
"Census Year"

" "," "," "," ","2011","2016"
"State"
" ","Both sexes"
" "," ","All social classes"
" "," "," ","Population Aged 3 Years and Over (Number)",4370631,4569261
" "," "," ","Irish Speakers (Number)",1774437,1761420
" "," "," ","Non-Irish Speakers (Number)",2507312,2667945
" "," "," ","Not Stated (Number)",88882,139896
" "," "," ","Irish speakers as a percentage of total (%)",40.6,38.5
" "," ","Professional workers"
" "," "," ","Population Aged 3 Years and Over (Number)",309682,359620
" "," "," ","Irish Speakers (Number)",168198,189333
" "," "," ","Non-Irish Speakers (Number)",139197,167646
" "," "," ","Not Stated (Number)",2287,2641
" "," "," ","Irish speakers as a percentage of total (%)",54.3,52.6
" "," ","Managerial and technical"
" "," "," ","Population Aged 3 Years and Over (Number)",1178551,1269064
" "," "," ","Irish Speakers (Number)",615171,634720
" "," "," ","Non-Irish Speakers (Number)",554290,624577
" "," "," ","Not Stated (Number)",9090,9767
" "," "," ","Irish speakers as a percentage of total (%)",52.2,50.0
" "," ","Non-manual"
" "," "," ","Population Aged 3 Years and Over (Number)",763779,805377
" "," "," ","Irish Speakers (Number)",342333,337610
" "," "," ","Non-Irish Speakers (Number)",414906,460433
" "," "," ","Not Stated (Number)",6540,7334
" "," "," ","Irish speakers as a percentage of total (%)",44.8,41.9
" "," ","Skilled manual"
" "," "," ","Population Aged 3 Years and Over (Number)",680423,650138
" "," "," ","Irish Speakers (Number)",223952,201604
" "," "," ","Non-Irish Speakers (Number)",448907,440616
" "," "," ","Not Stated (Number)",7564,7918
" "," "," ","Irish speakers as a percentage of total (%)",32.9,31.0
" "," ","Semi-skilled"
" "," "," ","Population Aged 3 Years and Over (Number)",472379,487800
" "," "," ","Irish Speakers (Number)",148360,145443
" "," "," ","Non-Irish Speakers (Number)",318899,336708
" "," "," ","Not Stated (Number)",5120,5649
" "," "," ","Irish speakers as a percentage of total (%)",31.4,29.8
" "," ","Unskilled"
" "," "," ","Population Aged 3 Years and Over (Number)",165803,166842
" "," "," ","Irish Speakers (Number)",38645,37180
" "," "," ","Non-Irish Speakers (Number)",125134,127407
" "," "," ","Not Stated (Number)",2024,2255
" "," "," ","Irish speakers as a percentage of total (%)",23.3,22.3
" "," ","All other gainfully occupied and unknown"
" "," "," ","Population Aged 3 Years and Over (Number)",800014,830420
" "," "," ","Irish Speakers (Number)",237778,215530
" "," "," ","Non-Irish Speakers (Number)",505979,510558
" "," "," ","Not Stated (Number)",56257,104332
" "," "," ","Irish speakers as a percentage of total (%)",29.7,26.0
" ","Male"
" "," ","All social classes"
" "," "," ","Population Aged 3 Years and Over (Number)",2161466,2255697
" "," "," ","Irish Speakers (Number)",800850,792643
" "," "," ","Non-Irish Speakers (Number)",1312713,1387498
" "," "," ","Not Stated (Number)",47903,75556
" "," "," ","Irish speakers as a percentage of total (%)",37.1,35.1
" "," ","Professional workers"
" "," "," ","Population Aged 3 Years and Over (Number)",171530,198039
" "," "," ","Irish Speakers (Number)",87311,97351
" "," "," ","Non-Irish Speakers (Number)",82896,99174
" "," "," ","Not Stated (Number)",1323,1514
" "," "," ","Irish speakers as a percentage of total (%)",50.9,49.2
" "," ","Managerial and technical"
" "," "," ","Population Aged 3 Years and Over (Number)",550570,592738
" "," "," ","Irish Speakers (Number)",262275,269884
" "," "," ","Non-Irish Speakers (Number)",283562,317675
" "," "," ","Not Stated (Number)",4733,5179
" "," "," ","Irish speakers as a percentage of total (%)",47.6,45.5
" "," ","Non-manual"
" "," "," ","Population Aged 3 Years and Over (Number)",287517,307868
" "," "," ","Irish Speakers (Number)",125886,126577
" "," "," ","Non-Irish Speakers (Number)",158558,177779
" "," "," ","Not Stated (Number)",3073,3512
" "," "," ","Irish speakers as a percentage of total (%)",43.8,41.1
" "," ","Skilled manual"
" "," "," ","Population Aged 3 Years and Over (Number)",443419,419505
" "," "," ","Irish Speakers (Number)",131237,115555
" "," "," ","Non-Irish Speakers (Number)",307153,298769
" "," "," ","Not Stated (Number)",5029,5181
" "," "," ","Irish speakers as a percentage of total (%)",29.6,27.5
" "," ","Semi-skilled"
" "," "," ","Population Aged 3 Years and Over (Number)",251940,261116
" "," "," ","Irish Speakers (Number)",74770,72690
" "," "," ","Non-Irish Speakers (Number)",174154,185130
" "," "," ","Not Stated (Number)",3016,3296
" "," "," ","Irish speakers as a percentage of total (%)",29.7,27.8
" "," ","Unskilled"
" "," "," ","Population Aged 3 Years and Over (Number)",93274,92295
" "," "," ","Irish Speakers (Number)",21103,20197
