"Percentage of Irish Speakers and Non-Irish Speakers Aged 3 Years and"
"Over 2011 to 2016 by Sex, County and City, statistical indicator and"
"Census Year"

" "," "," ","2011","2016"
"Both sexes"
" ","State"
" "," ","Population Aged 3 Years and Over (Number)",4370631,4569261
" "," ","Irish Speakers (Number)",1774437,1761420
" "," ","Non-Irish Speakers (Number)",2507312,2667945
" "," ","Not Stated (Number)",88882,139896
" "," ","Irish speakers as a percentage of total (%)",40.6,38.5
" ","Carlow"
" "," ","Population Aged 3 Years and Over (Number)",51991,54597
" "," ","Irish Speakers (Number)",19972,20243
" "," ","Non-Irish Speakers (Number)",30877,32896
" "," ","Not Stated (Number)",1142,1458
" "," ","Irish speakers as a percentage of total (%)",38.4,37.1
" ","Dublin City"
" "," ","Population Aged 3 Years and Over (Number)",508177,535779
" "," ","Irish Speakers (Number)",162879,156436
" "," ","Non-Irish Speakers (Number)",326811,344099
" "," ","Not Stated (Number)",18487,35244
" "," ","Irish speakers as a percentage of total (%)",32.1,29.2
" ","Dún Laoghaire-Rathdown"
" "," ","Population Aged 3 Years and Over (Number)",198168,209845
" "," ","Irish Speakers (Number)",83000,83172
" "," ","Non-Irish Speakers (Number)",111783,122056
" "," ","Not Stated (Number)",3385,4617
" "," ","Irish speakers as a percentage of total (%)",41.9,39.6
" ","Fingal"
" "," ","Population Aged 3 Years and Over (Number)",257491,281741
" "," ","Irish Speakers (Number)",96537,100989
" "," ","Non-Irish Speakers (Number)",155263,170284
" "," ","Not Stated (Number)",5691,10468
" "," ","Irish speakers as a percentage of total (%)",37.5,35.8
" ","South Dublin"
" "," ","Population Aged 3 Years and Over (Number)",250997,266235
" "," ","Irish Speakers (Number)",89850,90816
" "," ","Non-Irish Speakers (Number)",155644,166519
" "," ","Not Stated (Number)",5503,8900
" "," ","Irish speakers as a percentage of total (%)",35.8,34.1
" ","Kildare"
" "," ","Population Aged 3 Years and Over (Number)",198860,212479
" "," ","Irish Speakers (Number)",83526,85426
" "," ","Non-Irish Speakers (Number)",112261,122671
" "," ","Not Stated (Number)",3073,4382
" "," ","Irish speakers as a percentage of total (%)",42.0,40.2
" ","Kilkenny"
" "," ","Population Aged 3 Years and Over (Number)",90805,95134
" "," ","Irish Speakers (Number)",38619,38722
" "," ","Non-Irish Speakers (Number)",50694,54659
" "," ","Not Stated (Number)",1492,1753
" "," ","Irish speakers as a percentage of total (%)",42.5,40.7
" ","Laois"
" "," ","Population Aged 3 Years and Over (Number)",76014,80912
" "," ","Irish Speakers (Number)",31311,32485
" "," ","Non-Irish Speakers (Number)",42770,45831
" "," ","Not Stated (Number)",1933,2596
" "," ","Irish speakers as a percentage of total (%)",41.2,40.1
" ","Longford"
" "," ","Population Aged 3 Years and Over (Number)",37075,39137
" "," ","Irish Speakers (Number)",14388,14057
" "," ","Non-Irish Speakers (Number)",21982,24035
" "," ","Not Stated (Number)",705,1045
" "," ","Irish speakers as a percentage of total (%)",38.8,35.9
" ","Louth"
" "," ","Population Aged 3 Years and Over (Number)",116578,123406
" "," ","Irish Speakers (Number)",42106,42047
" "," ","Non-Irish Speakers (Number)",72206,77770
" "," ","Not Stated (Number)",2266,3589
" "," ","Irish speakers as a percentage of total (%)",36.1,34.1
" ","Meath"
" "," ","Population Aged 3 Years and Over (Number)",173544,186105
" "," ","Irish Speakers (Number)",68259,71763
" "," ","Non-Irish Speakers (Number)",102334,110244
" "," ","Not Stated (Number)",2951,4098
" "," ","Irish speakers as a percentage of total (%)",39.3,38.6
" ","Offaly"
" "," ","Population Aged 3 Years and Over (Number)",72893,74677
" "," ","Irish Speakers (Number)",28178,27807
" "," ","Non-Irish Speakers (Number)",43663,45056
" "," ","Not Stated (Number)",1052,1814
" "," ","Irish speakers as a percentage of total (%)",38.7,37.2
" ","Westmeath"
" "," ","Population Aged 3 Years and Over (Number)",82003,84973
" "," ","Irish Speakers (Number)",32771,32209
" "," ","Non-Irish Speakers (Number)",47700,50592
" "," ","Not Stated (Number)",1532,2172
" "," ","Irish speakers as a percentage of total (%)",40.0,37.9
" ","Wexford"
" "," ","Population Aged 3 Years and Over (Number)",138394,143730
" "," ","Irish Speakers (Number)",50936,51230
" "," ","Non-Irish Speakers (Number)",85218,89462
" "," ","Not Stated (Number)",2240,3038
" "," ","Irish speakers as a percentage of total (%)",36.8,35.6
" ","Wicklow"
" "," ","Population Aged 3 Years and Over (Number)",129643,136629
" "," ","Irish Speakers (Number)",48502,49955
" "," ","Non-Irish Speakers (Number)",79141,83653
" "," ","Not Stated (Number)",2000,3021
" "," ","Irish speakers as a percentage of total (%)",37.4,36.6
" ","Clare"
" "," ","Population Aged 3 Years and Over (Number)",111951,114372
" "," ","Irish Speakers (Number)",53853,52482
" "," ","Non-Irish Speakers (Number)",55789,58889
" "," ","Not Stated (Number)",2309,3001
" "," ","Irish speakers as a percentage of total (%)",48.1,45.9
" ","Cork City"
" "," ","Population Aged 3 Years and Over (Number)",115425,121834
" "," ","Irish Speakers (Number)",46566,44822
" "," ","Non-Irish Speakers (Number)",65774,72457
" "," ","Not Stated (Number)",3085,4555
" "," ","Irish speakers as a percentage of total (%)",40.3,36.8
" ","Cork County"
" "," ","Population Aged 3 Years and Over (Number)",379061,399102
" "," ","Irish Speakers (Number)",177536,179317
" "," ","Non-Irish Speakers (Number)",195232,211657
" "," ","Not Stated (Number)",6293,8128
" "," ","Irish speakers as a percentage of total (%)",46.8,44.9
" ","Kerry"
" "," ","Population Aged 3 Years and Over (Number)",139537,142609
" "," ","Irish Speakers (Number)",64105,61597
" "," ","Non-Irish Speakers (Number)",72845,76315
" "," ","Not Stated (Number)",2587,4697
" "," ","Irish speakers as a percentage of total (%)",45.9,43.2
" ","Limerick City and County"
" "," ","Population Aged 3 Years and Over (Number)",183092,187210
" "," ","Irish Speakers (Number)",81420,77313
" "," ","Non-Irish Speakers (Number)",98308,104198
" "," ","Not Stated (Number)",3364,5699
" "," ","Irish speakers as a percentage of total (%)",44.5,41.3
" ","Tipperary"
" "," ","Population Aged 3 Years and Over (Number)",151519,153202
" "," ","Irish Speakers (Number)",67338,65391
" "," ","Non-Irish Speakers (Number)",81743,84602
" "," ","Not Stated (Number)",2438,3209
" "," ","Irish speakers as a percentage of total (%)",44.4,42.7
" ","Waterford City and County"
" "," ","Population Aged 3 Years and Over (Number)",108529,111747
" "," ","Irish Speakers (Number)",46746,45321
" "," ","Non-Irish Speakers (Number)",59910,63261
" "," ","Not Stated (Number)",1873,3165
" "," ","Irish speakers as a percentage of total (%)",43.1,40.6
" ","Galway City"
" "," ","Population Aged 3 Years and Over (Number)",72471,75799
" "," ","Irish Speakers (Number)",31866,31140
" "," ","Non-Irish Speakers (Number)",38810,41542
" "," ","Not Stated (Number)",1795,3117
" "," ","Irish speakers as a percentage of total (%)",44.0,41.1
" ","Galway County"
" "," ","Population Aged 3 Years and Over (Number)",166624,171966
" "," ","Irish Speakers (Number)",84962,84249
" "," ","Non-Irish Speakers (Number)",79459,84286
" "," ","Not Stated (Number)",2203,3431
" "," ","Irish speakers as a percentage of total (%)",51.0,49.0
" ","Leitrim"
" "," ","Population Aged 3 Years and Over (Number)",30352,30771
" "," ","Irish Speakers (Number)",12644,12300
