"Irish Speakers and Non-Irish Speakers Aged 3 Years and Over 2011 to"
"2016 by Gaeltacht Areas, Sex, Socio Economic Group, statistical"
"indicator and Census Year"

" "," "," "," ","2011","2016"
"State"
" ","Both sexes"
" "," ","All socio-economic groups"
" "," "," ","Population Aged 3 Years and Over (Number)",4370631,4569261
" "," "," ","Irish Speakers (Number)",1774437,1761420
" "," "," ","Non-Irish Speakers (Number)",2507312,2667945
" "," "," ","Not Stated (Number)",88882,139896
" "," "," ","Irish speakers as a percentage of total (%)",40.6,38.5
" "," ","A. Employers and managers"
" "," "," ","Population Aged 3 Years and Over (Number)",657994,692458
" "," "," ","Irish Speakers (Number)",316211,320802
" "," "," ","Non-Irish Speakers (Number)",336278,365635
" "," "," ","Not Stated (Number)",5505,6021
" "," "," ","Irish speakers as a percentage of total (%)",48.1,46.3
" "," ","B. Higher professional"
" "," "," ","Population Aged 3 Years and Over (Number)",274209,317650
" "," "," ","Irish Speakers (Number)",148528,165509
" "," "," ","Non-Irish Speakers (Number)",123793,149929
" "," "," ","Not Stated (Number)",1888,2212
" "," "," ","Irish speakers as a percentage of total (%)",54.2,52.1
" "," ","C. Lower professional"
" "," "," ","Population Aged 3 Years and Over (Number)",524911,592610
" "," "," ","Irish Speakers (Number)",299077,321038
" "," "," ","Non-Irish Speakers (Number)",221999,267263
" "," "," ","Not Stated (Number)",3835,4309
" "," "," ","Irish speakers as a percentage of total (%)",57.0,54.2
" "," ","D. Non-manual"
" "," "," ","Population Aged 3 Years and Over (Number)",884458,955448
" "," "," ","Irish Speakers (Number)",379450,383280
" "," "," ","Non-Irish Speakers (Number)",497038,562653
" "," "," ","Not Stated (Number)",7970,9515
" "," "," ","Irish speakers as a percentage of total (%)",42.9,40.1
" "," ","E. Manual skilled"
" "," "," ","Population Aged 3 Years and Over (Number)",373563,349521
" "," "," ","Irish Speakers (Number)",114371,102178
" "," "," ","Non-Irish Speakers (Number)",255050,243127
" "," "," ","Not Stated (Number)",4142,4216
" "," "," ","Irish speakers as a percentage of total (%)",30.6,29.2
" "," ","F. Semi-skilled"
" "," "," ","Population Aged 3 Years and Over (Number)",348406,359403
" "," "," ","Irish Speakers (Number)",109782,107573
" "," "," ","Non-Irish Speakers (Number)",234904,247717
" "," "," ","Not Stated (Number)",3720,4113
" "," "," ","Irish speakers as a percentage of total (%)",31.5,29.9
" "," ","G. Unskilled"
" "," "," ","Population Aged 3 Years and Over (Number)",148074,150475
" "," "," ","Irish Speakers (Number)",34951,33946
" "," "," ","Non-Irish Speakers (Number)",111309,114476
" "," "," ","Not Stated (Number)",1814,2053
" "," "," ","Irish speakers as a percentage of total (%)",23.6,22.6
" "," ","H. Own account workers"
" "," "," ","Population Aged 3 Years and Over (Number)",191733,175796
" "," "," ","Irish Speakers (Number)",68483,57560
" "," "," ","Non-Irish Speakers (Number)",121523,116689
" "," "," ","Not Stated (Number)",1727,1547
" "," "," ","Irish speakers as a percentage of total (%)",35.7,32.7
" "," ","I. Farmers"
" "," "," ","Population Aged 3 Years and Over (Number)",163950,152294
" "," "," ","Irish Speakers (Number)",65931,57283
" "," "," ","Non-Irish Speakers (Number)",96084,93136
" "," "," ","Not Stated (Number)",1935,1875
" "," "," ","Irish speakers as a percentage of total (%)",40.2,37.6
" "," ","J. Agricultural workers"
" "," "," ","Population Aged 3 Years and Over (Number)",23031,22671
" "," "," ","Irish Speakers (Number)",6145,5763
" "," "," ","Non-Irish Speakers (Number)",16631,16646
" "," "," ","Not Stated (Number)",255,262
" "," "," ","Irish speakers as a percentage of total (%)",26.7,25.4
" "," ","Z. All others gainfully occupied and unknown"
" "," "," ","Population Aged 3 Years and Over (Number)",780302,800935
" "," "," ","Irish Speakers (Number)",231508,206488
" "," "," ","Non-Irish Speakers (Number)",492703,490674
" "," "," ","Not Stated (Number)",56091,103773
" "," "," ","Irish speakers as a percentage of total (%)",29.7,25.8
" ","Male"
" "," ","All socio-economic groups"
" "," "," ","Population Aged 3 Years and Over (Number)",2161466,2255697
" "," "," ","Irish Speakers (Number)",800850,792643
" "," "," ","Non-Irish Speakers (Number)",1312713,1387498
" "," "," ","Not Stated (Number)",47903,75556
" "," "," ","Irish speakers as a percentage of total (%)",37.1,35.1
" "," ","A. Employers and managers"
" "," "," ","Population Aged 3 Years and Over (Number)",354504,371762
" "," "," ","Irish Speakers (Number)",159867,161447
" "," "," ","Non-Irish Speakers (Number)",191494,206832
" "," "," ","Not Stated (Number)",3143,3483
" "," "," ","Irish speakers as a percentage of total (%)",45.1,43.4
" "," ","B. Higher professional"
" "," "," ","Population Aged 3 Years and Over (Number)",150685,173440
